Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:02:14 UTC 2014,0.0029,44.85,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:34 UTC 2014,0.0084,40.1,4,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:02:47 UTC 2014,0.0084,40.1,4,,
Wed Feb 12 16:02:56 UTC 2014,0.0282,41.65,4,,
Wed Feb 12 16:03:08 UTC 2014,0.0282,41.65,4,,
Wed Feb 12 16:03:15 UTC 2014,0.48,43.6,4,,
Wed Feb 12 16:03:23 UTC 2014,0.48,43.6,4,,
Wed Feb 12 16:03:29 UTC 2014,0.0058,43.4,4,,
Wed Feb 12 16:03:47 UTC 2014,0.0058,43.4,4,,
Wed Feb 12 16:03:57 UTC 2014,0.0069,43.45,4,,
Wed Feb 12 16:04:13 UTC 2014,0.0141,38.2,4,,
Wed Feb 12 16:04:25 UTC 2014,0.0141,38.2,4,,
Wed Feb 12 16:04:40 UTC 2014,0.0026,43.6,4,,
Wed Feb 12 16:04:53 UTC 2014,0.0015,38.4,4,,
Wed Feb 12 16:05:03 UTC 2014,0.0079,43.85,4,,
Wed Feb 12 16:05:19 UTC 2014,0.48,43.15,4,,
Wed Feb 12 16:05:30 UTC 2014,0.0023,37.45,4,,
Wed Feb 12 16:05:43 UTC 2014,0.0015,42.85,4,,
Wed Feb 12 16:05:57 UTC 2014,0.0076,37.7,4,,
Wed Feb 12 16:06:08 UTC 2014,0.0209,49.8,4,,
Wed Feb 12 16:06:26 UTC 2014,0.0209,49.8,4,,
Wed Feb 12 16:06:36 UTC 2014,0.0026,49.8,4,,
Wed Feb 12 16:06:48 UTC 2014,0.0026,43.7,4,,
Wed Feb 12 16:07:07 UTC 2014,0.0166,37.9,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:24 UTC 2014,0.0023,38.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:34 UTC 2014,0.0017,43.7,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:48 UTC 2014,0.0017,44.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:07:58 UTC 2014,0.016,43.65,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:11 UTC 2014,0.016,43.65,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:22 UTC 2014,0.48,40.8,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:08:34 UTC 2014,0.48,31.55,4,,
Wed Feb 12 16:08:43 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:08:54 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:09:09 UTC 2014,0.6,36.75,5,,
Wed Feb 12 16:09:23 UTC 2014,0.6,40.2,5,,
Wed Feb 12 16:09:33 UTC 2014,0.6,40.2,5,,
Wed Feb 12 16:09:45 UTC 2014,0.6,30,5,,
Wed Feb 12 16:09:57 UTC 2014,0.6,39.6,5,,
Wed Feb 12 16:10:11 UTC 2014,0.6,33.75,5,,
Wed Feb 12 16:10:24 UTC 2014,0.6,33.75,5,,
Wed Feb 12 16:10:35 UTC 2014,0.6,37.5,5,,
Wed Feb 12 16:10:48 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:10:58 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:11:11 UTC 2014,0.6,30.25,5,,
Wed Feb 12 16:11:17 UTC 2014,0.6,38.7,5,,
Wed Feb 12 16:11:27 UTC 2014,0.6,28.85,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:48 UTC 2014,0.6,28.85,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:11:58 UTC 2014,0.6,44.6,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:08 UTC 2014,0.0102,33.3,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:18 UTC 2014,0.0047,47.1,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:31 UTC 2014,0.0047,47.1,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:12:41 UTC 2014,0.0074,45.4,5,,
Wed Feb 12 16:12:53 UTC 2014,0.0073,40.35,6,,
Wed Feb 12 16:13:08 UTC 2014,0.0073,40.35,6,,
Wed Feb 12 16:13:19 UTC 2014,0.0225,40.35,6,,
Wed Feb 12 16:13:26 UTC 2014,0.0225,40.35,6,,
Wed Feb 12 16:13:36 UTC 2014,0.0114,43,6,,
Wed Feb 12 16:13:49 UTC 2014,0.0114,43,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:00 UTC 2014,0.0039,48.975,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:10 UTC 2014,0.0039,48.975,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:20 UTC 2014,0.0313,55.225,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:35 UTC 2014,0.0313,55.225,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:14:44 UTC 2014,0.0035,59.125,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:00 UTC 2014,0.0035,46.175,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:15:17 UTC 2014,0.0032,46.175,7,,
Wed Feb 12 16:15:24 UTC 2014,0.0109,44.15,7,,
Wed Feb 12 16:15:31 UTC 2014,0.0109,44.15,7,,
Wed Feb 12 16:15:43 UTC 2014,0.0087,50.175,7,,
Wed Feb 12 16:15:55 UTC 2014,0.0087,50.175,7,,
Wed Feb 12 16:16:08 UTC 2014,0.0323,35.6,7,,
Wed Feb 12 16:16:21 UTC 2014,0.0323,35.6,7,,
Wed Feb 12 16:16:36 UTC 2014,0.0215,55.375,7,,
Wed Feb 12 16:16:48 UTC 2014,0.0215,55.375,7,,
Wed Feb 12 16:16:59 UTC 2014,0.0043,52.075,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:18 UTC 2014,0.0043,52.075,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:30 UTC 2014,0.0043,52.075,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:43 UTC 2014,0.0044,49.8,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:17:53 UTC 2014,0.0044,49.8,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:06 UTC 2014,0.84,42.5,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:18:15 UTC 2014,0.96,36.15,8,,
Wed Feb 12 16:18:27 UTC 2014,0.96,36.15,8,,
Wed Feb 12 16:18:34 UTC 2014,0.96,41.925,8,,
Wed Feb 12 16:18:50 UTC 2014,0.96,41.925,8,,
Wed Feb 12 16:18:58 UTC 2014,0.96,41.925,8,,
Wed Feb 12 16:19:11 UTC 2014,0.96,41.925,8,,
Wed Feb 12 16:19:19 UTC 2014,0.96,41.925,8,,
Wed Feb 12 16:19:33 UTC 2014,0.96,42.925,8,,
Wed Feb 12 16:19:42 UTC 2014,0.96,42.925,8,,
Wed Feb 12 16:19:49 UTC 2014,0.96,42.925,8,,
Wed Feb 12 16:20:02 UTC 2014,0.96,32.7,8,,
Wed Feb 12 16:20:10 UTC 2014,0.96,32.7,8,,
Wed Feb 12 16:20:16 UTC 2014,0.96,32.7,8,,
Wed Feb 12 16:20:24 UTC 2014,0.009,37.575,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:37 UTC 2014,0.009,37.575,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:47 UTC 2014,0.009,37.575,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:20:56 UTC 2014,0.96,37.15,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:07 UTC 2014,0.96,37.15,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:17 UTC 2014,0.96,39.35,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:26 UTC 2014,0.96,39.35,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:34 UTC 2014,0.96,41.65,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:21:49 UTC 2014,0.96,41.65,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:01 UTC 2014,0.96,41.65,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:12 UTC 2014,0.96,41.65,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:24 UTC 2014,0.0259,51.3,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:34 UTC 2014,0.0259,51.3,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:46 UTC 2014,0.0049,48.3,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:22:59 UTC 2014,0.0049,48.3,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:16 UTC 2014,0.0049,48.3,8,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:23:27 UTC 2014,0.0024,47.75,7,,
Wed Feb 12 16:23:35 UTC 2014,0.0024,47.75,7,,
Wed Feb 12 16:23:40 UTC 2014,0.0255,50.25,7,,
Wed Feb 12 16:23:58 UTC 2014,0.0255,50.25,7,,
Wed Feb 12 16:24:08 UTC 2014,0.0031,49.775,7,,
Wed Feb 12 16:24:15 UTC 2014,0.0031,49.775,7,,
Wed Feb 12 16:24:22 UTC 2014,0.0031,49.775,7,,
Wed Feb 12 16:24:37 UTC 2014,0.0031,46.35,7,,
Wed Feb 12 16:24:51 UTC 2014,0.0031,46.35,7,,
Wed Feb 12 16:24:58 UTC 2014,0.0031,46.35,7,,
Wed Feb 12 16:25:05 UTC 2014,0.0051,49.85,7,,
Wed Feb 12 16:25:13 UTC 2014,0.0051,49.85,7,,
Wed Feb 12 16:25:26 UTC 2014,0.0108,54.3,7,,
Wed Feb 12 16:25:38 UTC 2014,0.006,51.9,7,,
Wed Feb 12 16:25:50 UTC 2014,0.006,51.9,7,,
Wed Feb 12 16:26:01 UTC 2014,0.006,51.9,7,,
Wed Feb 12 16:26:08 UTC 2014,0.006,51.9,7,,
Wed Feb 12 16:26:23 UTC 2014,0.0262,46.125,7,,
Wed Feb 12 16:26:32 UTC 2014,0.0262,46.125,7,,
Wed Feb 12 16:26:43 UTC 2014,0.84,44.65,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:26:58 UTC 2014,0.84,44.65,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:09 UTC 2014,0.84,38.65,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:22 UTC 2014,0.84,38.65,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:32 UTC 2014,0.84,39.2,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:45 UTC 2014,0.84,39.2,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:54 UTC 2014,0.84,39.2,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:10 UTC 2014,0.84,41.7,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:22 UTC 2014,0.84,41.7,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:32 UTC 2014,0.84,38.35,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:43 UTC 2014,0.84,38.35,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:54 UTC 2014,0.84,41.7,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:05 UTC 2014,0.84,41.7,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:16 UTC 2014,0.84,38.8,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:25 UTC 2014,0.84,38.8,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:36 UTC 2014,0.84,51.55,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:48 UTC 2014,0.84,38.65,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:06 UTC 2014,0.028,46.75,7,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:17 UTC 2014,0.024,46.75,6,,
Wed Feb 12 16:30:31 UTC 2014,0.0141,59.9,6,,
Wed Feb 12 16:30:46 UTC 2014,0.0141,59.9,6,,
Wed Feb 12 16:30:55 UTC 2014,0.0022,64.05,6,,
Wed Feb 12 16:31:13 UTC 2014,0.0022,64.05,6,,
Wed Feb 12 16:31:27 UTC 2014,0.0016,56.15,6,,
Wed Feb 12 16:31:36 UTC 2014,0.0016,56.15,6,,
Wed Feb 12 16:31:44 UTC 2014,0.0248,53.5,6,,
Wed Feb 12 16:31:52 UTC 2014,0.0248,53.5,6,,
Wed Feb 12 16:32:06 UTC 2014,0.004,48.4,6,,
Wed Feb 12 16:32:15 UTC 2014,0.004,48.4,6,,
Wed Feb 12 16:32:27 UTC 2014,0.0034,52.6,6,,
Wed Feb 12 16:32:41 UTC 2014,0.0034,52.6,6,,
Wed Feb 12 16:32:51 UTC 2014,0.0039,55.5,6,,
Wed Feb 12 16:33:02 UTC 2014,0.0024,55.15,6,,
Wed Feb 12 16:33:13 UTC 2014,0.0024,55.15,6,,
Wed Feb 12 16:33:23 UTC 2014,0.0016,57.25,6,,
Wed Feb 12 16:33:38 UTC 2014,0.0032,56.75,6,,
Wed Feb 12 16:33:57 UTC 2014,0.0032,56.75,6,,
Wed Feb 12 16:34:04 UTC 2014,0.0032,56.75,6,,
Wed Feb 12 16:34:13 UTC 2014,0.0032,56.75,6,,
Wed Feb 12 16:34:19 UTC 2014,0.0047,51.15,6,,
Wed Feb 12 16:34:27 UTC 2014,0.0047,51.15,6,,
Wed Feb 12 16:34:34 UTC 2014,0.0248,51.7,6,,
Wed Feb 12 16:34:43 UTC 2014,0.0091,56.85,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:01 UTC 2014,0.0091,56.85,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:11 UTC 2014,0.0091,56.85,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:24 UTC 2014,0.0195,56.5,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:35 UTC 2014,0.0033,58.9,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:48 UTC 2014,0.0033,58.9,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:36:03 UTC 2014,0.0033,58.9,6,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:36:12 UTC 2014,0.004,47.95,7,,
Wed Feb 12 16:36:22 UTC 2014,0.004,47.95,7,,
Wed Feb 12 16:36:36 UTC 2014,0.084,51.35,7,,
Wed Feb 12 16:36:45 UTC 2014,0.84,55.15,7,,
Wed Feb 12 16:37:03 UTC 2014,0.84,55.15,7,,
Wed Feb 12 16:37:12 UTC 2014,0.84,55.15,7,,
Wed Feb 12 16:37:21 UTC 2014,0.84,55.15,7,,
Wed Feb 12 16:37:33 UTC 2014,0.84,37,7,,
Wed Feb 12 16:37:49 UTC 2014,0.0049,42.35,7,,
Wed Feb 12 16:37:59 UTC 2014,0.0049,42.35,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:09 UTC 2014,0.07,53.95,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:23 UTC 2014,0.07,53.95,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:38 UTC 2014,0.07,53.95,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:52 UTC 2014,0.0029,54.85,7,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:39:03 UTC 2014,0.0091,57.95,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:39:14 UTC 2014,0.0091,57.95,8,,
Wed Feb 12 16:39:22 UTC 2014,0.0091,57.95,8,,
Wed Feb 12 16:39:36 UTC 2014,0.0091,57.95,8,,
Wed Feb 12 16:39:50 UTC 2014,0.0196,62,8,,
Wed Feb 12 16:39:58 UTC 2014,0.0029,59.45,8,,
Wed Feb 12 16:40:11 UTC 2014,0.0029,59.45,8,,
Wed Feb 12 16:40:20 UTC 2014,0.0031,56,8,,
Wed Feb 12 16:40:33 UTC 2014,0.0031,56,8,,
Wed Feb 12 16:40:46 UTC 2014,0.0031,56,8,,
Wed Feb 12 16:40:54 UTC 2014,0.0031,56,8,,
Wed Feb 12 16:41:06 UTC 2014,0.0029,54.7,8,,
Wed Feb 12 16:41:21 UTC 2014,0.0029,54.7,8,,
Wed Feb 12 16:41:41 UTC 2014,0.0021,52.85,8,,
Wed Feb 12 16:41:46 UTC 2014,0.0021,52.85,8,,
Wed Feb 12 16:41:58 UTC 2014,0.06,75.4,8,,
Wed Feb 12 16:42:14 UTC 2014,0.06,75.4,8,,
Wed Feb 12 16:42:33 UTC 2014,0.0039,74.1,8,,
Wed Feb 12 16:42:42 UTC 2014,0.0039,74.1,8,,
Wed Feb 12 16:42:59 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:10 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:28 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:40 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:43:48 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:43:54 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:44:02 UTC 2014,0.96,62.2,8,,
Wed Feb 12 16:44:16 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:24 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:33 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:44 UTC 2014,0.002,52.6,8,,
Wed Feb 12 16:44:57 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:13 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:24 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:32 UTC 2014,0.0055,56.9,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:42 UTC 2014,0.0055,56.9,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:52 UTC 2014,0.0043,50.25,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:03 UTC 2014,0.0043,50.25,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:21 UTC 2014,0.0144,47.9,9,,
Wed Feb 12 16:46:33 UTC 2014,0.0144,47.9,9,,
Wed Feb 12 16:46:43 UTC 2014,0.0108,50.55,9,,
Wed Feb 12 16:46:56 UTC 2014,0.0108,50.55,9,,
Wed Feb 12 16:47:05 UTC 2014,0.0096,54.05,9,,
Wed Feb 12 16:47:14 UTC 2014,0.0096,54.05,9,,
Wed Feb 12 16:47:21 UTC 2014,0.0096,54.05,9,,
Wed Feb 12 16:47:28 UTC 2014,1.08,47.8,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:44 UTC 2014,1.08,47.8,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:54 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:07 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
