Time ,cost ,responseTime ,throughput ,activeConnections,numberOfVMs , ongoingAction,actionTarget
Wed Feb 12 16:02:19 UTC 2014,0.24,6,138,165,2,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:02:31 UTC 2014,0.24,6,145,57,2,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:02:46 UTC 2014,0.24,6,145,57,2,,
Wed Feb 12 16:02:57 UTC 2014,0.24,6,145,57,2,,
Wed Feb 12 16:03:06 UTC 2014,0.24,6,153,17,2,,
Wed Feb 12 16:03:18 UTC 2014,0.24,6,33,181,2,,
Wed Feb 12 16:03:34 UTC 2014,0.24,6,33,181,2,,
Wed Feb 12 16:03:42 UTC 2014,0.24,7,136,110,2,,
Wed Feb 12 16:04:00 UTC 2014,0.24,7,136,110,2,,
Wed Feb 12 16:04:09 UTC 2014,0.24,5,170,70,2,,
Wed Feb 12 16:04:17 UTC 2014,0.24,7,146,34,2,,
Wed Feb 12 16:04:25 UTC 2014,0.24,7,146,34,2,,
Wed Feb 12 16:04:41 UTC 2014,0.24,8,144,183,2,,
Wed Feb 12 16:04:51 UTC 2014,0.24,6,139,310,2,,
Wed Feb 12 16:05:04 UTC 2014,0.24,7,125,61,2,,
Wed Feb 12 16:05:17 UTC 2014,0.24,6,128,0,2,,
Wed Feb 12 16:05:31 UTC 2014,0.24,6,141,205,2,,
Wed Feb 12 16:05:43 UTC 2014,0.24,6,171,322,2,,
Wed Feb 12 16:05:59 UTC 2014,0.24,6,143,63,2,,
Wed Feb 12 16:06:07 UTC 2014,0.24,6,143,63,2,,
Wed Feb 12 16:06:15 UTC 2014,0.24,6,143,63,2,,
Wed Feb 12 16:06:22 UTC 2014,0.24,6,151,23,2,,
Wed Feb 12 16:06:29 UTC 2014,0.24,7,13,184,2,,
Wed Feb 12 16:06:46 UTC 2014,0.24,6,154,180,2,,
Wed Feb 12 16:06:55 UTC 2014,0.24,6,154,180,2,,
Wed Feb 12 16:07:02 UTC 2014,0.24,6,146,188,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:07:17 UTC 2014,0.24,7,129,208,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:07:34 UTC 2014,0.24,6,155,290,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:07:48 UTC 2014,0.24,5,89,80,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:08:00 UTC 2014,0.24,0,0,30,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:08:11 UTC 2014,0.24,0,0,30,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:08:23 UTC 2014,0.24,7,146,0,2,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:08:35 UTC 2014,0.24,0,0,0,2,,
Wed Feb 12 16:08:42 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:08:57 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:09:08 UTC 2014,0.36,-0.5,-1,0,3,,
Wed Feb 12 16:09:24 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:09:31 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:09:48 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:09:56 UTC 2014,0.36,4,13,0,3,,
Wed Feb 12 16:10:12 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:10:24 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:10:36 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:10:47 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:10:59 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:11:08 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:11:19 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:11:25 UTC 2014,0.36,0,0,0,3,,
Wed Feb 12 16:11:31 UTC 2014,0.36,0,0,0,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:11:44 UTC 2014,0.36,0,0,0,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:11:59 UTC 2014,0.36,2.5,42,0,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:12:13 UTC 2014,0.36,6,282,59,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:12:26 UTC 2014,0.36,5,264,128,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:12:38 UTC 2014,0.36,4,150,81,3,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:12:52 UTC 2014,0.36,9,171,98,3,,
Wed Feb 12 16:13:01 UTC 2014,0.36,9,171,98,3,,
Wed Feb 12 16:13:10 UTC 2014,0.36,9,171,98,3,,
Wed Feb 12 16:13:16 UTC 2014,0.36,637.5,211,32,3,,
Wed Feb 12 16:13:28 UTC 2014,0.36,4.5,128,63,3,,
Wed Feb 12 16:13:45 UTC 2014,0.36,4.5,120,184,3,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:14:10 UTC 2014,0.36,6.5,120,184,3,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:14:25 UTC 2014,0.36,8.5,194,23,3,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:14:40 UTC 2014,0.36,5.5,221,208,3,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:14:56 UTC 2014,0.36,5.5,221,208,3,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:15:08 UTC 2014,0.48,5.5,124,262,4,,
Wed Feb 12 16:15:19 UTC 2014,0.48,5.5,124,262,4,,
Wed Feb 12 16:15:29 UTC 2014,0.48,7,188,77,4,,
Wed Feb 12 16:15:35 UTC 2014,0.48,2.3333,82,96,4,,
Wed Feb 12 16:15:49 UTC 2014,0.48,2.3333,82,96,4,,
Wed Feb 12 16:15:59 UTC 2014,0.48,7.6667,99,26,4,,
Wed Feb 12 16:16:16 UTC 2014,0.48,7.6667,99,26,4,,
Wed Feb 12 16:16:30 UTC 2014,0.48,7.6667,99,26,4,,
Wed Feb 12 16:16:40 UTC 2014,0.48,7,201,39,4,,
Wed Feb 12 16:16:52 UTC 2014,0.48,8.3333,186,194,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:17:15 UTC 2014,0.48,8.3333,186,194,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:17:29 UTC 2014,0.48,8.3333,186,194,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:17:40 UTC 2014,0.48,8,194,190,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:17:52 UTC 2014,0.48,8,194,0,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:18:08 UTC 2014,0.48,0,0,0,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:18:24 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 16:18:30 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 16:18:40 UTC 2014,0.6,1.6667,68,0,5,,
Wed Feb 12 16:18:56 UTC 2014,0.6,1.6667,68,0,5,,
Wed Feb 12 16:19:03 UTC 2014,0.6,1.6667,68,0,5,,
Wed Feb 12 16:19:18 UTC 2014,0.6,1.6667,68,0,5,,
Wed Feb 12 16:19:25 UTC 2014,0.6,-0.25,-1,0,5,,
Wed Feb 12 16:19:40 UTC 2014,0.6,-0.25,-1,0,5,,
Wed Feb 12 16:19:50 UTC 2014,0.6,-0.25,-1,0,5,,
Wed Feb 12 16:20:00 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 16:20:11 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 16:20:25 UTC 2014,0.6,3.25,23,107,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:20:46 UTC 2014,0.6,3.25,23,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:20:58 UTC 2014,0.6,5.25,167,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:21:12 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:21:26 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:21:39 UTC 2014,0.6,2.5,21,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:21:56 UTC 2014,0.6,2.5,21,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:22:07 UTC 2014,0.6,2.5,21,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:22:20 UTC 2014,0.6,2.5,21,37,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:22:32 UTC 2014,0.6,8.75,242,37,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:22:49 UTC 2014,0.6,8.25,201,197,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:23:08 UTC 2014,0.6,8.25,201,197,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:23:19 UTC 2014,0.6,8.25,201,197,4,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:23:33 UTC 2014,0.48,6,185,350,4,,
Wed Feb 12 16:23:43 UTC 2014,0.48,7.6667,289,33,4,,
Wed Feb 12 16:23:56 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:11 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:24 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:34 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:42 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:48 UTC 2014,0.48,5.6667,165,269,4,,
Wed Feb 12 16:25:04 UTC 2014,0.48,5.3333,238,166,4,,
Wed Feb 12 16:25:14 UTC 2014,0.48,5.3333,238,166,4,,
Wed Feb 12 16:25:25 UTC 2014,0.48,6.3333,192,78,4,,
Wed Feb 12 16:25:40 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:25:49 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:26:01 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:26:18 UTC 2014,0.48,6,164,32,4,,
Wed Feb 12 16:26:29 UTC 2014,0.48,6,164,32,4,,
Wed Feb 12 16:26:37 UTC 2014,0.48,0,0,0,4,,
Wed Feb 12 16:26:51 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:05 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:20 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:31 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:48 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:03 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:15 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:32 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:44 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:58 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:10 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:22 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:36 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:48 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:30:07 UTC 2014,0.48,8.6667,178,30,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:30:18 UTC 2014,0.48,8.6667,178,30,4,,
Wed Feb 12 16:30:32 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:30:42 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:30:58 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:31:09 UTC 2014,0.48,7.3333,281,332,4,,
Wed Feb 12 16:31:14 UTC 2014,0.48,7.3333,281,332,4,,
Wed Feb 12 16:31:25 UTC 2014,0.48,6.6667,304,444,4,,
Wed Feb 12 16:31:39 UTC 2014,0.48,4,6,29,4,,
Wed Feb 12 16:31:55 UTC 2014,0.48,4,6,29,4,,
Wed Feb 12 16:32:04 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:16 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:27 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:33 UTC 2014,0.48,4.3333,286,214,4,,
Wed Feb 12 16:32:50 UTC 2014,0.48,7.6667,230,186,4,,
Wed Feb 12 16:33:04 UTC 2014,0.48,6.6667,161,305,4,,
Wed Feb 12 16:33:13 UTC 2014,0.48,6.6667,161,305,4,,
Wed Feb 12 16:33:24 UTC 2014,0.48,7,330,464,4,,
Wed Feb 12 16:33:37 UTC 2014,0.48,7,330,464,4,,
Wed Feb 12 16:33:44 UTC 2014,0.48,4.3333,81,226,4,,
Wed Feb 12 16:34:00 UTC 2014,0.48,4.3333,81,226,4,,
Wed Feb 12 16:34:07 UTC 2014,0.48,7.3333,31,154,4,,
Wed Feb 12 16:34:24 UTC 2014,0.48,7.3333,31,154,4,,
Wed Feb 12 16:34:37 UTC 2014,0.48,6.6667,320,29,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:34:54 UTC 2014,0.48,4.3333,260,79,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:08 UTC 2014,0.48,4.3333,260,79,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:20 UTC 2014,0.48,12.6667,244,37,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:33 UTC 2014,0.48,12.6667,244,37,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:46 UTC 2014,0.48,6,176,219,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:58 UTC 2014,0.48,6,176,219,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:36:11 UTC 2014,0.6,4,159,212,5,,
Wed Feb 12 16:36:24 UTC 2014,0.6,4,159,212,5,,
Wed Feb 12 16:36:34 UTC 2014,0.6,5.6667,96,10,5,,
Wed Feb 12 16:36:47 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:00 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:14 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:29 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:36 UTC 2014,0.6,-0.25,-1,0,5,,
Wed Feb 12 16:37:48 UTC 2014,0.6,4.5,98,171,5,,
Wed Feb 12 16:38:00 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:21 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:33 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:45 UTC 2014,0.6,7.5,272,291,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:59 UTC 2014,0.6,7.5,277,106,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:39:14 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:22 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:35 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:51 UTC 2014,0.72,7.5,4,49,6,,
Wed Feb 12 16:40:06 UTC 2014,0.72,7.8,347,331,6,,
Wed Feb 12 16:40:14 UTC 2014,0.72,7.8,347,331,6,,
Wed Feb 12 16:40:24 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:40:36 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:40:52 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:41:08 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:20 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:27 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:34 UTC 2014,0.72,7.4,339,452,6,,
Wed Feb 12 16:41:43 UTC 2014,0.72,7.4,339,452,6,,
Wed Feb 12 16:41:50 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:07 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:18 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:27 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:33 UTC 2014,0.72,3.2,56,244,6,,
Wed Feb 12 16:42:41 UTC 2014,0.72,3.2,56,244,6,,
Wed Feb 12 16:42:48 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:07 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:14 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:24 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:31 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:38 UTC 2014,0.72,127,55,7,6,,
Wed Feb 12 16:43:50 UTC 2014,0.72,127,55,7,6,,
Wed Feb 12 16:43:59 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:05 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:12 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:19 UTC 2014,0.72,6.6,77,184,6,,
Wed Feb 12 16:44:30 UTC 2014,0.72,7.6,245,492,6,,
Wed Feb 12 16:44:47 UTC 2014,0.72,7.6,245,492,6,,
Wed Feb 12 16:44:55 UTC 2014,0.72,7.6,245,492,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:20 UTC 2014,0.72,7.6,245,492,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:32 UTC 2014,0.72,6.8,152,176,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:48 UTC 2014,0.72,9.2,167,223,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:46:03 UTC 2014,0.72,9.2,167,223,7,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:46:22 UTC 2014,0.84,7,224,75,7,,
Wed Feb 12 16:46:33 UTC 2014,0.84,7,224,75,7,,
Wed Feb 12 16:46:41 UTC 2014,0.84,6,440,100,7,,
Wed Feb 12 16:46:48 UTC 2014,0.84,6,440,100,7,,
Wed Feb 12 16:47:01 UTC 2014,0.84,7,248,112,7,,
Wed Feb 12 16:47:16 UTC 2014,0.84,7,248,112,7,,
Wed Feb 12 16:47:34 UTC 2014,0.84,-0.1667,-1,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:47:52 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:04 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:20 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:35 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:50 UTC 2014,0.84,7.6667,255,376,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:02 UTC 2014,0.84,7.6667,255,376,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:14 UTC 2014,0.84,4.1667,155,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:26 UTC 2014,0.84,4.1667,155,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:37 UTC 2014,0.84,2.5,26,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:53 UTC 2014,0.84,2.5,26,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:50:06 UTC 2014,0.84,5.6,69,18,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:50:19 UTC 2014,0.84,5.6,69,18,7,,
Wed Feb 12 16:50:26 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:40 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:47 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:50:58 UTC 2014,0.72,2,21,0,6,,
Wed Feb 12 16:51:13 UTC 2014,0.72,2.2,51,218,6,,
Wed Feb 12 16:51:21 UTC 2014,0.72,2.2,3,73,6,,
Wed Feb 12 16:51:43 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:03 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:16 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:29 UTC 2014,0.72,2.8,66,6,6,,
Wed Feb 12 16:52:42 UTC 2014,0.72,7.8,167,221,6,,
Wed Feb 12 16:52:57 UTC 2014,0.72,7.8,167,221,6,,
Wed Feb 12 16:53:10 UTC 2014,0.72,8.6,405,514,6,,
Wed Feb 12 16:53:19 UTC 2014,0.72,8.6,405,514,6,,
Wed Feb 12 16:53:34 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:53:47 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:53:59 UTC 2014,0.72,8,67,6,6,,
Wed Feb 12 16:54:13 UTC 2014,0.72,8.6,162,209,6,,
Wed Feb 12 16:54:23 UTC 2014,0.72,8.6,162,209,6,,
Wed Feb 12 16:54:37 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:54:53 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:55:04 UTC 2014,0.72,7.4,306,412,6,,
Wed Feb 12 16:55:10 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:26 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:36 UTC 2014,0.72,6.4,137,55,6,,
Wed Feb 12 16:55:53 UTC 2014,0.72,5.4,31,109,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:17 UTC 2014,0.72,5.4,31,8,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:28 UTC 2014,0.72,6.4,39,8,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:56:44 UTC 2014,0.72,7.6,287,225,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:01 UTC 2014,0.72,7.6,287,225,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:12 UTC 2014,0.72,0,0,90,6,DataNodeServiceUnit_scaleOut,
Wed Feb 12 16:57:27 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:34 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:41 UTC 2014,0.72,0,0,90,6,,
Wed Feb 12 16:57:51 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:02 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:08 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:17 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:23 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:39 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:58:55 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:08 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:23 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:31 UTC 2014,0.72,0,0,0,6,,
