Time ,cost ,responseTime ,throughput ,activeConnections,numberOfVMs , ongoingAction,actionTarget
Wed Feb 12 16:59:38 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:45 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 16:59:52 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:06 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:21 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:28 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:00:35 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:00:58 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:10 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:25 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:37 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:01:49 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:04 UTC 2014,0.72,-0.2,-1,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:15 UTC 2014,0.72,-0.2,-1,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:30 UTC 2014,0.72,5,4,49,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:45 UTC 2014,0.72,5,4,49,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:02:58 UTC 2014,0.72,10.75,62,66,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:03:11 UTC 2014,0.72,10.75,62,66,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:03:29 UTC 2014,0.72,10.75,62,66,6,,
Wed Feb 12 17:03:41 UTC 2014,0.6,11.5,75,109,5,,
Wed Feb 12 17:03:54 UTC 2014,0.6,11.5,75,109,5,,
Wed Feb 12 17:04:05 UTC 2014,0.6,7.5,74,140,5,,
Wed Feb 12 17:04:15 UTC 2014,0.6,7.5,74,140,5,,
Wed Feb 12 17:04:26 UTC 2014,0.6,9.5,65,108,5,,
Wed Feb 12 17:04:42 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:05 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:17 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:29 UTC 2014,0.6,8.75,147,198,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:39 UTC 2014,0.6,8.5,179,42,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:05:57 UTC 2014,0.6,8.5,179,42,5,,
Wed Feb 12 17:06:04 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:11 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:24 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:34 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:40 UTC 2014,0.72,8,244,303,6,,
Wed Feb 12 17:06:51 UTC 2014,0.72,8.75,203,164,6,,
Wed Feb 12 17:07:06 UTC 2014,0.72,8.75,203,164,6,,
Wed Feb 12 17:07:14 UTC 2014,0.72,-0.2,-1,0,6,,
Wed Feb 12 17:07:21 UTC 2014,0.72,-0.2,-1,0,6,,
Wed Feb 12 17:07:32 UTC 2014,0.72,-0.2,-1,0,6,,
Wed Feb 12 17:07:42 UTC 2014,0.72,7.6,234,182,6,,
Wed Feb 12 17:07:50 UTC 2014,0.72,7.6,234,182,6,,
Wed Feb 12 17:07:57 UTC 2014,0.72,7.6,234,182,6,,
Wed Feb 12 17:08:07 UTC 2014,0.72,4.4,167,165,6,,
Wed Feb 12 17:08:13 UTC 2014,0.72,4.4,167,165,6,,
Wed Feb 12 17:08:20 UTC 2014,0.72,7.8,246,242,6,,
Wed Feb 12 17:08:32 UTC 2014,0.72,7.8,246,242,6,,
Wed Feb 12 17:08:37 UTC 2014,0.72,7.8,246,242,6,,
Wed Feb 12 17:08:45 UTC 2014,0.72,8.8,233,484,6,,
Wed Feb 12 17:08:59 UTC 2014,0.72,8.8,233,484,6,,
Wed Feb 12 17:09:08 UTC 2014,0.72,8.8,233,484,6,,
Wed Feb 12 17:09:24 UTC 2014,0.72,8.8,233,484,6,,
Wed Feb 12 17:09:34 UTC 2014,0.72,8.8,233,484,6,,
Wed Feb 12 17:09:44 UTC 2014,0.72,7,132,183,6,,
Wed Feb 12 17:09:58 UTC 2014,0.72,7,132,183,6,,
Wed Feb 12 17:10:10 UTC 2014,0.72,6.4,158,29,6,,
Wed Feb 12 17:10:21 UTC 2014,0.72,6.4,158,29,6,,
Wed Feb 12 17:10:31 UTC 2014,0.72,6.4,158,29,6,,
Wed Feb 12 17:10:36 UTC 2014,0.72,7.2,316,180,6,,
Wed Feb 12 17:10:43 UTC 2014,0.72,7.2,316,180,6,,
Wed Feb 12 17:10:54 UTC 2014,0.72,7.2,316,180,6,,
Wed Feb 12 17:11:06 UTC 2014,0.72,7.2,316,180,6,,
Wed Feb 12 17:11:14 UTC 2014,0.72,7.2,316,180,6,,
Wed Feb 12 17:11:25 UTC 2014,0.72,8.2,103,21,6,,
Wed Feb 12 17:11:38 UTC 2014,0.72,8.2,103,21,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:11:52 UTC 2014,0.72,6.2,161,51,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:12:06 UTC 2014,0.72,6.2,161,51,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:12:20 UTC 2014,0.72,7.2,144,44,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:12:33 UTC 2014,0.72,7.2,144,44,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:12:45 UTC 2014,0.72,4.8,179,91,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:12:57 UTC 2014,0.72,4.8,179,91,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:13:11 UTC 2014,0.72,4.8,179,91,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:13:23 UTC 2014,0.72,4.8,179,91,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:13:37 UTC 2014,0.72,5,184,19,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:13:49 UTC 2014,0.72,5,184,19,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:14:00 UTC 2014,0.72,0,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:14:14 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:14:22 UTC 2014,0.6,6.25,164,38,5,,
Wed Feb 12 17:14:33 UTC 2014,0.6,6.25,164,38,5,,
Wed Feb 12 17:14:48 UTC 2014,0.6,6.25,164,38,5,,
Wed Feb 12 17:14:56 UTC 2014,0.6,6.25,164,38,5,,
Wed Feb 12 17:15:04 UTC 2014,0.6,8.5,41,69,5,,
Wed Feb 12 17:15:17 UTC 2014,0.6,8.5,41,69,5,,
Wed Feb 12 17:15:24 UTC 2014,0.6,8.5,41,69,5,,
Wed Feb 12 17:15:32 UTC 2014,0.6,8.5,41,69,5,,
Wed Feb 12 17:15:39 UTC 2014,0.6,7,151,189,5,,
Wed Feb 12 17:15:48 UTC 2014,0.6,7,151,189,5,,
Wed Feb 12 17:16:00 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:16:17 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:16:26 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:16:36 UTC 2014,0.6,7.25,311,12,5,,
Wed Feb 12 17:16:56 UTC 2014,0.6,7.25,311,12,5,,
Wed Feb 12 17:17:05 UTC 2014,0.6,6,245,364,5,,
Wed Feb 12 17:17:20 UTC 2014,0.6,6,245,364,5,,
Wed Feb 12 17:17:27 UTC 2014,0.6,6.75,289,129,5,,
Wed Feb 12 17:17:39 UTC 2014,0.6,6.75,289,129,5,,
Wed Feb 12 17:17:49 UTC 2014,0.6,6.75,168,0,5,,
Wed Feb 12 17:18:06 UTC 2014,0.6,6.75,168,0,5,,
Wed Feb 12 17:18:18 UTC 2014,0.6,6.25,121,359,5,,
Wed Feb 12 17:18:31 UTC 2014,0.6,6.25,121,359,5,,
Wed Feb 12 17:18:40 UTC 2014,0.6,6.25,121,359,5,,
Wed Feb 12 17:18:57 UTC 2014,0.6,6.25,121,359,5,,
Wed Feb 12 17:19:03 UTC 2014,0.6,6.25,245,143,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:19:16 UTC 2014,0.6,6.5,245,143,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:19:26 UTC 2014,0.6,6.5,245,143,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:19:39 UTC 2014,0.6,6.25,239,201,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:19:51 UTC 2014,0.6,6.25,239,400,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:20:07 UTC 2014,0.6,6.25,277,400,5,,
Wed Feb 12 17:20:22 UTC 2014,0.72,5,54,91,6,,
Wed Feb 12 17:20:31 UTC 2014,0.72,5,54,91,6,,
Wed Feb 12 17:20:41 UTC 2014,0.72,5,54,91,6,,
Wed Feb 12 17:20:53 UTC 2014,0.72,5,54,91,6,,
Wed Feb 12 17:21:04 UTC 2014,0.72,5,54,91,6,,
Wed Feb 12 17:21:11 UTC 2014,0.72,-0.2,-1,94,6,,
Wed Feb 12 17:21:25 UTC 2014,0.72,-0.2,-1,94,6,,
Wed Feb 12 17:21:41 UTC 2014,0.72,6.2,105,135,6,,
Wed Feb 12 17:21:49 UTC 2014,0.72,6.2,105,135,6,,
Wed Feb 12 17:21:58 UTC 2014,0.72,6.2,105,135,6,,
Wed Feb 12 17:22:06 UTC 2014,0.72,7,189,0,6,,
Wed Feb 12 17:22:21 UTC 2014,0.72,7,189,0,6,,
Wed Feb 12 17:22:34 UTC 2014,0.72,7,189,0,6,,
Wed Feb 12 17:22:44 UTC 2014,0.72,2,70,14,6,,
Wed Feb 12 17:22:52 UTC 2014,0.72,2,70,14,6,,
Wed Feb 12 17:23:00 UTC 2014,0.72,2,70,14,6,,
Wed Feb 12 17:23:07 UTC 2014,0.72,2,70,14,6,,
Wed Feb 12 17:23:17 UTC 2014,0.72,1,9,0,6,,
Wed Feb 12 17:23:28 UTC 2014,0.72,1,9,0,6,,
Wed Feb 12 17:23:35 UTC 2014,0.72,1,9,0,6,,
Wed Feb 12 17:23:50 UTC 2014,0.72,1,9,0,6,,
Wed Feb 12 17:23:59 UTC 2014,0.72,1,9,0,6,,
Wed Feb 12 17:24:08 UTC 2014,0.72,0.8,21,0,6,,
Wed Feb 12 17:24:16 UTC 2014,0.72,0.8,21,0,6,,
Wed Feb 12 17:24:27 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:24:39 UTC 2014,0.72,0,0,0,6,,
Wed Feb 12 17:24:46 UTC 2014,0.72,2.2,36,0,6,,
Wed Feb 12 17:25:01 UTC 2014,0.72,2.2,36,0,6,,
Wed Feb 12 17:25:14 UTC 2014,0.72,2.2,36,0,6,,
Wed Feb 12 17:25:21 UTC 2014,0.72,1.4,4,0,6,,
Wed Feb 12 17:25:33 UTC 2014,0.72,1.4,4,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:25:50 UTC 2014,0.72,1.4,4,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:26:03 UTC 2014,0.72,1.4,4,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:26:20 UTC 2014,0.72,6.8,258,269,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:26:32 UTC 2014,0.72,6.8,258,269,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:26:44 UTC 2014,0.72,6.8,258,269,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:26:56 UTC 2014,0.72,6,223,39,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:27:08 UTC 2014,0.72,6,223,39,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:27:22 UTC 2014,0.72,1,0,0,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:27:34 UTC 2014,0.72,1,232,104,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:27:50 UTC 2014,0.72,4,232,104,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:28:03 UTC 2014,0.72,4,232,104,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:28:20 UTC 2014,0.72,4,232,104,6,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:28:33 UTC 2014,0.72,4,233,191,6,,
Wed Feb 12 17:28:43 UTC 2014,0.72,4,233,191,6,,
Wed Feb 12 17:28:57 UTC 2014,0.6,5.75,235,259,5,,
Wed Feb 12 17:29:06 UTC 2014,0.6,5.75,235,259,5,,
Wed Feb 12 17:29:14 UTC 2014,0.6,4.25,113,42,5,,
Wed Feb 12 17:29:28 UTC 2014,0.6,4.25,113,42,5,,
Wed Feb 12 17:29:35 UTC 2014,0.6,4.25,113,42,5,,
Wed Feb 12 17:29:47 UTC 2014,0.6,4.25,113,42,5,,
Wed Feb 12 17:29:59 UTC 2014,0.6,4.25,113,42,5,,
Wed Feb 12 17:30:10 UTC 2014,0.6,5.25,254,368,5,,
Wed Feb 12 17:30:19 UTC 2014,0.6,5.25,254,368,5,,
Wed Feb 12 17:30:34 UTC 2014,0.6,3,110,0,5,,
Wed Feb 12 17:30:52 UTC 2014,0.6,3,110,0,5,,
Wed Feb 12 17:30:59 UTC 2014,0.6,2.25,30,298,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:31:18 UTC 2014,0.6,2.25,20,25,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:31:31 UTC 2014,0.6,2,20,25,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:31:43 UTC 2014,0.6,1.5,4,200,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:31:55 UTC 2014,0.6,1.5,4,200,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:32:09 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:32:24 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:32:37 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:32:51 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:33:03 UTC 2014,0.6,4.3333,30,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:33:17 UTC 2014,0.6,1.3333,80,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:33:31 UTC 2014,0.6,1.3333,80,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:33:43 UTC 2014,0.6,1.6667,25,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:33:56 UTC 2014,0.6,1.6667,25,0,5,,
Wed Feb 12 17:34:02 UTC 2014,0.48,1.6667,25,0,4,,
Wed Feb 12 17:34:21 UTC 2014,0.48,1.6667,20,32,4,,
Wed Feb 12 17:34:37 UTC 2014,0.48,3,102,94,4,,
Wed Feb 12 17:34:49 UTC 2014,0.48,3,102,94,4,,
Wed Feb 12 17:35:07 UTC 2014,0.48,5.3333,303,20,4,,
Wed Feb 12 17:35:16 UTC 2014,0.48,5.3333,303,20,4,,
Wed Feb 12 17:35:27 UTC 2014,0.48,5.3333,303,20,4,,
Wed Feb 12 17:35:33 UTC 2014,0.48,5.3333,303,20,4,,
Wed Feb 12 17:35:41 UTC 2014,0.48,5.6667,265,45,4,,
Wed Feb 12 17:35:54 UTC 2014,0.48,5.6667,265,45,4,,
Wed Feb 12 17:36:06 UTC 2014,0.48,6,207,273,4,,
Wed Feb 12 17:36:16 UTC 2014,0.48,6,207,273,4,,
Wed Feb 12 17:36:22 UTC 2014,0.48,6,207,273,4,,
Wed Feb 12 17:36:30 UTC 2014,0.48,4.6667,186,152,4,,
Wed Feb 12 17:36:43 UTC 2014,0.48,5.3333,267,269,4,,
Wed Feb 12 17:36:55 UTC 2014,0.48,5.3333,267,269,4,,
Wed Feb 12 17:37:06 UTC 2014,0.48,5.3333,267,269,4,,
Wed Feb 12 17:37:14 UTC 2014,0.48,12.3333,211,183,4,,
Wed Feb 12 17:37:31 UTC 2014,0.48,12.3333,211,183,4,,
Wed Feb 12 17:37:38 UTC 2014,0.48,12.3333,211,298,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:37:58 UTC 2014,0.48,4.6667,135,298,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:38:16 UTC 2014,0.48,5.3333,200,286,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:38:30 UTC 2014,0.48,5.3333,129,308,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:38:42 UTC 2014,0.48,5.6667,129,308,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:38:58 UTC 2014,0.48,5,268,345,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 17:39:08 UTC 2014,0.48,5,268,345,4,,
Wed Feb 12 17:39:20 UTC 2014,0.6,5,268,345,5,,
Wed Feb 12 17:39:27 UTC 2014,0.6,5,268,345,5,,
Wed Feb 12 17:39:35 UTC 2014,0.6,5,268,345,5,,
Wed Feb 12 17:39:42 UTC 2014,0.6,2.6667,191,0,5,,
Wed Feb 12 17:39:50 UTC 2014,0.6,2.6667,191,0,5,,
Wed Feb 12 17:40:04 UTC 2014,0.6,1.75,9,24,5,,
Wed Feb 12 17:40:14 UTC 2014,0.6,1.75,9,24,5,,
Wed Feb 12 17:40:26 UTC 2014,0.6,4,231,0,5,,
Wed Feb 12 17:40:39 UTC 2014,0.6,4,231,0,5,,
Wed Feb 12 17:40:46 UTC 2014,0.6,2,8,95,5,,
Wed Feb 12 17:41:00 UTC 2014,0.6,2,8,95,5,,
Wed Feb 12 17:41:08 UTC 2014,0.6,2,8,95,5,,
Wed Feb 12 17:41:19 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:41:32 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:41:43 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:41:58 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:42:05 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:42:17 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:42:24 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:42:32 UTC 2014,0.6,1.5,14,95,5,,
Wed Feb 12 17:42:45 UTC 2014,0.6,1.5,14,95,5,,
Wed Feb 12 17:43:03 UTC 2014,0.6,1.75,1,76,5,,
Wed Feb 12 17:43:16 UTC 2014,0.6,1.75,1,76,5,,
Wed Feb 12 17:43:22 UTC 2014,0.6,4,202,80,5,,
Wed Feb 12 17:43:34 UTC 2014,0.6,4,202,80,5,,
Wed Feb 12 17:43:45 UTC 2014,0.6,5.75,281,158,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:44:06 UTC 2014,0.6,5.75,281,158,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:44:20 UTC 2014,0.6,6.5,290,51,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:44:30 UTC 2014,0.6,6.5,290,51,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:44:46 UTC 2014,0.6,6,245,44,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:44:57 UTC 2014,0.6,6,245,44,5,DataNodeServiceUnit_scaleOut,
Wed Feb 12 17:45:14 UTC 2014,0.6,5.75,230,89,5,,
Wed Feb 12 17:45:25 UTC 2014,0.6,5.75,230,89,5,,
Wed Feb 12 17:45:40 UTC 2014,0.6,2.25,47,0,5,,
Wed Feb 12 17:45:53 UTC 2014,0.6,2.25,47,0,5,,
Wed Feb 12 17:46:03 UTC 2014,0.6,2.25,47,0,5,,
Wed Feb 12 17:46:10 UTC 2014,0.6,2.25,47,0,5,,
Wed Feb 12 17:46:18 UTC 2014,0.6,6.25,293,109,5,,
Wed Feb 12 17:46:33 UTC 2014,0.6,6.25,293,109,5,,
Wed Feb 12 17:46:43 UTC 2014,0.6,6.25,293,109,5,,
Wed Feb 12 17:46:56 UTC 2014,0.6,12.25,297,147,5,,
Wed Feb 12 17:47:04 UTC 2014,0.6,12.25,297,147,5,,
Wed Feb 12 17:47:15 UTC 2014,0.6,12.25,297,147,5,,
Wed Feb 12 17:47:25 UTC 2014,0.6,7.5,272,310,5,,
Wed Feb 12 17:47:41 UTC 2014,0.6,7.5,272,310,5,,
Wed Feb 12 17:47:53 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:03 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:12 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:22 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:28 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:35 UTC 2014,0.6,14,128,281,5,,
Wed Feb 12 17:48:43 UTC 2014,0.6,11,298,278,5,,
Wed Feb 12 17:48:49 UTC 2014,0.6,11,298,278,5,,
Wed Feb 12 17:49:07 UTC 2014,0.6,11,298,278,5,,
Wed Feb 12 17:49:17 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:49:29 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:49:36 UTC 2014,0.6,0,0,0,5,,
Wed Feb 12 17:49:43 UTC 2014,0.6,2.75,73,150,5,,
Wed Feb 12 17:49:58 UTC 2014,0.6,2.75,73,150,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:50:14 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:50:29 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:50:41 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:50:57 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:51:09 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:51:28 UTC 2014,0.6,5,140,60,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:51:42 UTC 2014,0.6,5,140,60,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:51:54 UTC 2014,0.6,6.6667,46,161,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:52:09 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:52:21 UTC 2014,0.6,0,0,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:52:36 UTC 2014,0.6,7.6667,171,0,5,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:52:53 UTC 2014,0.6,7.6667,171,0,4,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 17:53:07 UTC 2014,0.48,7.6667,171,0,4,,
Wed Feb 12 17:53:20 UTC 2014,0.48,6,135,163,4,,
Wed Feb 12 17:53:36 UTC 2014,0.48,6,135,163,4,,
Wed Feb 12 17:53:49 UTC 2014,0.48,5,19,308,4,,
Wed Feb 12 17:54:02 UTC 2014,0.48,5,19,308,4,,
Wed Feb 12 17:54:14 UTC 2014,0.48,7,125,107,4,,
Wed Feb 12 17:54:25 UTC 2014,0.48,7,125,107,4,,
